question_text,intent,response_text
Is it normal to feel pain on day 5?,pain_mgmt,Standard response for pain mgmt.
How can I manage my pain?,pain_mgmt,Standard response for pain mgmt.
What painkillers can I use?,pain_mgmt,Standard response for pain mgmt.
What painkillers can I use?,pain_mgmt,Standard response for pain mgmt.
What painkillers can I use?,pain_mgmt,Standard response for pain mgmt.
How can I manage my pain?,pain_mgmt,Standard response for pain mgmt.
Is it normal to feel pain on day 5?,pain_mgmt,Standard response for pain mgmt.
What painkillers can I use?,pain_mgmt,Standard response for pain mgmt.
Is it normal to feel pain on day 5?,pain_mgmt,Standard response for pain mgmt.
Is it normal to feel pain on day 5?,pain_mgmt,Standard response for pain mgmt.
What painkillers can I use?,pain_mgmt,Standard response for pain mgmt.
Is it normal to feel pain on day 5?,pain_mgmt,Standard response for pain mgmt.
Is it normal to feel pain on day 5?,pain_mgmt,Standard response for pain mgmt.
How can I manage my pain?,pain_mgmt,Standard response for pain mgmt.
Is it normal to feel pain on day 5?,pain_mgmt,Standard response for pain mgmt.
How can I manage my pain?,pain_mgmt,Standard response for pain mgmt.
What painkillers can I use?,pain_mgmt,Standard response for pain mgmt.
What painkillers can I use?,pain_mgmt,Standard response for pain mgmt.
What painkillers can I use?,pain_mgmt,Standard response for pain mgmt.
Is it normal to feel pain on day 5?,pain_mgmt,Standard response for pain mgmt.
Is it normal to feel pain on day 5?,pain_mgmt,Standard response for pain mgmt.
Is it normal to feel pain on day 5?,pain_mgmt,Standard response for pain mgmt.
Is it normal to feel pain on day 5?,pain_mgmt,Standard response for pain mgmt.
What painkillers can I use?,pain_mgmt,Standard response for pain mgmt.
How can I manage my pain?,pain_mgmt,Standard response for pain mgmt.
What painkillers can I use?,pain_mgmt,Standard response for pain mgmt.
Is it normal to feel pain on day 5?,pain_mgmt,Standard response for pain mgmt.
How can I manage my pain?,pain_mgmt,Standard response for pain mgmt.
How can I manage my pain?,pain_mgmt,Standard response for pain mgmt.
How can I manage my pain?,pain_mgmt,Standard response for pain mgmt.
Is it normal to feel pain on day 5?,pain_mgmt,Standard response for pain mgmt.
Is it normal to feel pain on day 5?,pain_mgmt,Standard response for pain mgmt.
Is it normal to feel pain on day 5?,pain_mgmt,Standard response for pain mgmt.
How can I manage my pain?,pain_mgmt,Standard response for pain mgmt.
What painkillers can I use?,pain_mgmt,Standard response for pain mgmt.
